_id,MSYMPTOMID,TOCALLDATE,Repair_time,Average_repairtime_year,Average_repairtime_all,worksheets_closed,Average_worksheets_year
65407fde983e3aa5f5c60a7e,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a7f,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a80,Telephony,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a81,Telephony,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a82,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a83,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c60a84,Telephony,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60a85,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a86,Software,Year_2560,15,4,2,V3,208
65407fde983e3aa5f5c60a87,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a88,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a89,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a8a,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a8b,Others,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60a8c,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a8d,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a8e,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a8f,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a90,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a91,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a92,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a93,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a94,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60a95,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60a96,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60a97,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a98,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a99,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9a,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9b,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9c,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9d,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9e,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a9f,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aa0,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aa1,Internet,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60aa2,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aa3,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aa4,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60aa5,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aa6,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aa7,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aa8,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aa9,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aaa,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60aab,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aac,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aad,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60aae,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60aaf,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab0,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab1,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab2,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab3,Software,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c60ab4,Software,Year_2560,6,4,2,V1,208
